#Copyright © 2017 - 2020 Symphony.All rights reserved.
Date                		: 07:Feb:2023 13:30:42.665[dd: MMM: yyyy HH: mm: ss.SSS]
07:Feb:2023 13:45:02.414 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:45:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:46:02.710 info           Candle data event recevied Tue Feb 07 2023 13:46:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:46:02.711 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:46:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:46:02.712 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:46:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:47:02.013 info           Candle data event recevied Tue Feb 07 2023 13:47:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:47:02.015 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:47:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:47:02.016 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:47:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:48:02.501 info           Candle data event recevied Tue Feb 07 2023 13:48:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:48:02.502 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:48:02 GMT+0530 (India Standard Time)_22
07:Feb:2023 13:48:02.502 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:48:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:48:02.502 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:48:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:49:03.866 info           Candle data event recevied Tue Feb 07 2023 13:49:03 GMT+0530 (India Standard Time)
07:Feb:2023 13:49:03.869 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:49:03 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:49:03.870 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:49:03 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:50:02.652 info           Candle data event recevied Tue Feb 07 2023 13:50:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:50:02.654 error          {"type":"error","code":"e-rds-0001","description":"key not found.","result":null}
07:Feb:2023 13:50:02.654 error          Candle data event key not found in redis
07:Feb:2023 13:51:02.969 info           Candle data event recevied Tue Feb 07 2023 13:51:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:51:02.975 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:51:02 GMT+0530 (India Standard Time)_22
07:Feb:2023 13:51:02.975 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:51:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:51:02.976 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:51:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:52:02.225 info           Candle data event recevied Tue Feb 07 2023 13:52:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:52:02.227 error          {"type":"error","code":"e-rds-0001","description":"key not found.","result":null}
07:Feb:2023 13:52:02.227 error          Candle data event key not found in redis
07:Feb:2023 13:53:02.504 info           Candle data event recevied Tue Feb 07 2023 13:53:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:53:02.505 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:53:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:53:02.506 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:53:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:54:02.860 info           Candle data event recevied Tue Feb 07 2023 13:54:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:54:02.861 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:54:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:54:02.861 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:54:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:55:02.101 info           Candle data event recevied Tue Feb 07 2023 13:55:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:55:02.104 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:55:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:55:02.104 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:55:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:56:02.118 info           Candle data event recevied Tue Feb 07 2023 13:56:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:56:02.119 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:56:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:56:02.120 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:56:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:57:02.420 info           Candle data event recevied Tue Feb 07 2023 13:57:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:57:02.422 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:57:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:57:02.423 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:57:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 13:58:02.705 info           Candle data event recevied Tue Feb 07 2023 13:58:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:58:02.706 error          {"type":"error","code":"e-rds-0001","description":"key not found.","result":null}
07:Feb:2023 13:58:02.706 error          Candle data event key not found in redis
07:Feb:2023 13:59:02.226 info           Candle data event recevied Tue Feb 07 2023 13:59:02 GMT+0530 (India Standard Time)
07:Feb:2023 13:59:02.228 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:59:02 GMT+0530 (India Standard Time)_22
07:Feb:2023 13:59:02.229 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:59:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 13:59:02.229 info           Preparing Candle data event send to the user Tue Feb 07 2023 13:59:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:00:02.733 info           Candle data event recevied Tue Feb 07 2023 14:00:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:00:02.735 error          {"type":"error","code":"e-rds-0001","description":"key not found.","result":null}
07:Feb:2023 14:00:02.735 error          Candle data event key not found in redis
07:Feb:2023 14:01:02.127 info           Candle data event recevied Tue Feb 07 2023 14:01:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:01:02.132 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:01:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:01:02.132 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:01:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:02:04.975 info           Candle data event recevied Tue Feb 07 2023 14:02:04 GMT+0530 (India Standard Time)
07:Feb:2023 14:02:04.976 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:02:04 GMT+0530 (India Standard Time)_22
07:Feb:2023 14:02:04.977 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:02:04 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:02:04.977 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:02:04 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:03:02.295 info           Candle data event recevied Tue Feb 07 2023 14:03:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:03:02.310 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:03:02 GMT+0530 (India Standard Time)_22
07:Feb:2023 14:03:02.315 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:03:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:03:02.316 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:03:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:04:02.703 info           Candle data event recevied Tue Feb 07 2023 14:04:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:04:02.704 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:04:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:04:02.704 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:04:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:05:03.037 info           Candle data event recevied Tue Feb 07 2023 14:05:03 GMT+0530 (India Standard Time)
07:Feb:2023 14:05:03.038 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:05:03 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:05:03.038 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:05:03 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:06:02.368 info           Candle data event recevied Tue Feb 07 2023 14:06:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:06:02.370 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:06:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:06:02.370 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:06:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:07:02.749 info           Candle data event recevied Tue Feb 07 2023 14:07:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:07:02.752 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:07:02 GMT+0530 (India Standard Time)_22
07:Feb:2023 14:07:02.752 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:07:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:07:02.762 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:07:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:08:02.052 info           Candle data event recevied Tue Feb 07 2023 14:08:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:08:02.054 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:08:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:08:02.054 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:08:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:09:02.465 info           Candle data event recevied Tue Feb 07 2023 14:09:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:09:02.468 error          {"type":"error","code":"e-rds-0001","description":"key not found.","result":null}
07:Feb:2023 14:09:02.468 error          Candle data event key not found in redis
07:Feb:2023 14:10:03.586 info           Candle data event recevied Tue Feb 07 2023 14:10:03 GMT+0530 (India Standard Time)
07:Feb:2023 14:10:03.587 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:10:03 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:10:03.587 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:10:03 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:11:02.896 info           Candle data event recevied Tue Feb 07 2023 14:11:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:11:02.897 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:11:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:11:02.897 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:11:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:12:02.648 info           Candle data event recevied Tue Feb 07 2023 14:12:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:12:02.648 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:12:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:12:02.649 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:12:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:13:02.105 info           Candle data event recevied Tue Feb 07 2023 14:13:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:13:02.109 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:13:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:13:02.110 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:13:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:14:02.439 info           Candle data event recevied Tue Feb 07 2023 14:14:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:14:02.443 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:14:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:14:02.443 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:14:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:15:02.746 info           Candle data event recevied Tue Feb 07 2023 14:15:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:15:02.748 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:15:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:15:02.749 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:15:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:16:02.117 info           Candle data event recevied Tue Feb 07 2023 14:16:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:16:02.125 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:16:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:16:02.126 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:16:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:17:02.344 info           Candle data event recevied Tue Feb 07 2023 14:17:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:17:02.351 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:17:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:17:02.351 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:17:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:18:02.149 info           Candle data event recevied Tue Feb 07 2023 14:18:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:18:02.150 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:18:02 GMT+0530 (India Standard Time)_22
07:Feb:2023 14:18:02.151 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:18:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:18:02.151 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:18:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:19:02.168 info           Candle data event recevied Tue Feb 07 2023 14:19:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:19:02.170 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:19:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:19:02.171 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:19:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:20:02.689 info           Candle data event recevied Tue Feb 07 2023 14:20:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:20:02.690 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:20:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:20:02.691 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:20:02 GMT+0530 (India Standard Time)_11536
07:Feb:2023 14:21:02.022 info           Candle data event recevied Tue Feb 07 2023 14:21:02 GMT+0530 (India Standard Time)
07:Feb:2023 14:21:02.024 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:21:02 GMT+0530 (India Standard Time)_2885
07:Feb:2023 14:21:02.024 info           Preparing Candle data event send to the user Tue Feb 07 2023 14:21:02 GMT+0530 (India Standard Time)_11536
